AccountCode,Team,Name,Mrg,PinPout,Actual,ExpOptVal,With_Exch,Y_PNL,E_PNL,O_PNL,I_PNL,T_PNL,PL_D0.5U0.5,PL_U0.5D0.5,Client,DT
C535,VEC,DELTAV7V2:108X:VEC:2928,0.4,0.0,0.0,0.0,2.0,0.4,0.6946525,0.4213,-0.12664750000000002,0.2946525,0.0,0.0,2928,02-Apr-2024 14:26:17
C431,VEC,DELTAV7V2:108X:VEC:2994,0.4,0.0,0.0,0.0,2.0,0.4,0.77537,0.4213,-0.04592999999999999,0.37537,0.0,0.0,2994,02-Apr-2024 14:26:17
C537,VEC,DELTAV7V2:108X:VEC:3535,0.4,0.0,0.0,0.0,2.0,0.4,0.77226,0.4213,-0.04904,0.37226,0.0,0.0,3535,02-Apr-2024 14:26:17
C311,VEC,DELTAV7V2:108X:VEC:3595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595,02-Apr-2024 14:26:17
C788,VEC,DELTAV7V2:108X:VEC:3600,0.8,0.0,0.0,0.0,2.0,0.5,1.308975,0.95907,-0.15009499999999995,0.808975,0.0,0.0,3600,02-Apr-2024 14:26:17
C525,VEC,DELTAV7V2:108X:VEC:3610,0.8,0.0,0.0,0.0,2.0,0.5,1.3767,0.95907,-0.08237000000000004,0.8767,0.0,0.0,3610,02-Apr-2024 14:26:17
C771,VEC,DELTAV7V2:108X:VEC:3620,0.5,0.0,0.0,0.0,2.0,0.3,0.8215575000000002,0.593615,-0.07205749999999993,0.5215575000000001,0.0,0.0,3620,02-Apr-2024 14:26:17
C930,VEC,DELTAV7V2:108X:VEC:3624,0.5,0.0,0.0,0.0,2.0,0.3,0.8020800000000001,0.593615,-0.09153499999999992,0.5020800000000001,0.0,0.0,3624,02-Apr-2024 14:26:17
C750,VEO,DELTAV7V2:108X:VEO:2003,2.7,-1.0,-1.0,0.0,9.0,2.5,5.474405,3.0752349999999993,-0.10082999999999995,2.974405,-1.0,-1.0,2003,02-Apr-2024 14:26:17
C291,VEO,DELTAV7V2:108X:VEO:2051,1.3,-1.0,-1.0,0.0,4.0,1.3,2.75761,1.5504924999999996,-0.0928825,1.45761,-1.0,-1.0,2051,02-Apr-2024 14:26:17
